"chipclass"	"IFSLWTA"											
												
"aerIn"												
"id"	"x"	"range"	"range(128)"	"type"	"1"	"f"	"X"							
111	91	93		Vdd			Corner aVdd			Analog Vdd		
112	34	36		dGnd			PaddGnd			Digital core and Digital Pad Ground		
113	2	2		dGnd			PaddGnd			Digital core and Digital Pad Ground		
114	80	82		dVdd			PaddVdd			Digital core Vdd		
115	23	23		dVdd			PaddVdd			Digital core Vdd		
116	114	118		PadVdd			PadVDD			Digital Pad Vdd		
117	33	35		PadGnd			Corner PadGND			Digital core and Digital Pad Ground		
118	113	115		FollBias		dac	Corner FollBias	[0.3:0.6]		Wide-pad follower bias	60	
												
			TOTAL PINS:	116								
